type,from,to,Work at home,Study at home,"Drive a private car, truck or van","Drive a company car, truck or van","Passenger in a car, truck, van or company bus",Public bus,School bus,Train,Bicycle,Walk or jog,Ferry,Other,Total
Work,121900,121900,135,0,9,9,0,0,0,0,0,0,0,0,156
Work,122000,122000,90,0,24,0,0,0,0,0,0,6,0,0,123
Work,122100,122100,105,0,9,6,0,0,0,0,0,0,0,0,123
Work,122200,122200,228,0,12,0,0,0,0,0,0,0,0,0,246
Work,122300,122300,135,0,12,9,0,0,0,0,0,0,0,0,162
Work,122400,122400,129,0,9,9,0,0,0,0,0,0,0,0,150
Work,122500,122500,81,0,12,0,0,0,0,0,0,0,0,0,99
Work,122600,122600,96,0,9,0,0,0,0,0,0,0,0,0,111
Work,122700,122700,108,0,12,9,0,0,0,0,0,0,0,0,132
Work,122800,122800,147,0,39,6,0,0,0,0,0,18,0,0,216
Work,122900,122900,105,0,6,18,0,0,0,0,0,0,0,0,132
Work,123000,123000,72,0,12,6,0,0,0,0,0,0,0,0,96
Work,123100,123100,102,0,12,9,0,0,0,0,0,0,0,0,123
Work,123200,123200,129,0,9,6,0,0,0,0,0,0,0,0,150
Work,123300,123300,153,0,12,12,0,0,0,0,0,0,0,0,177
Work,123400,123400,123,0,18,0,0,0,0,0,0,9,0,0,156
Work,123500,123500,12,0,9,0,0,0,0,0,0,9,0,0,39
Work,123600,123600,162,0,15,0,0,0,0,0,0,0,0,0,189
Work,123700,123700,354,0,30,12,0,0,0,0,0,0,0,0,402
Work,123800,123800,87,0,12,0,0,0,0,0,0,6,0,0,108
Work,123900,123900,216,0,18,6,0,0,0,0,0,0,0,0,249
Work,124000,124000,126,0,30,0,6,0,0,0,0,15,0,0,186
Work,124100,124100,96,0,30,0,0,0,0,0,0,9,0,0,144
Work,124200,124200,84,0,0,0,0,0,0,0,0,0,0,0,93
Work,124300,124300,81,0,18,9,0,0,0,0,0,0,0,0,108
Work,124400,124400,183,0,18,6,0,0,0,0,0,12,0,0,222
Work,124500,124500,123,0,33,9,0,0,0,0,0,15,0,0,189
